"edad_rango","educacion","rol","anos_codigo","usa_Python","usa_R","salario_usd"
"25-29","Master's degree","Business Analyst","1-2 years",1,0,
"22-24","Master's degree","Research Scientist","20+ years",1,1,114000
"25-29","Master's degree","Research Scientist","10-20 years",0,1,
"45-49","Bachelor's degree","Data Analyst","10-20 years",1,0,79000
"25-29","Master's degree","Data Scientist","3-5 years",1,1,56000
"22-24","Bachelor's degree","Data Analyst","1-2 years",1,0,75000
"40-44","Bachelor's degree","Data Engineer","3-5 years",1,1,149000
"22-24","Some college/university study","Software Engineer","3-5 years",0,0,80000
"35-39","Master's degree","Data Analyst","3-5 years",0,0,121000
"22-24","Bachelor's degree","Software Engineer","1-2 years",1,1,110000
"35-39","Master's degree","Software Engineer","5-10 years",1,0,57000
"40-44","Bachelor's degree","Research Scientist","5-10 years",0,1,70000
"40-44","Master's degree","Data Engineer","10-20 years",0,0,
"40-44","Master's degree","Data Scientist","1-2 years",1,1,79000
"50-54","Bachelor's degree","Software Engineer","5-10 years",1,0,147000
"40-44","Master's degree","Data Scientist","5-10 years",1,0,61000
"22-24","Master's degree","Student","< 1 year",1,0,20000
"18-21","Bachelor's degree","Data Analyst","3-5 years",1,0,47000
"22-24","Master's degree","Research Scientist","3-5 years",0,1,88000
"35-39","Master's degree","Student","1-2 years",1,0,
"35-39","Master's degree","Data Scientist","20+ years",0,1,129000
"22-24","Doctoral degree","ML Engineer","< 1 year",1,0,150000
"35-39","Master's degree","Software Engineer","10-20 years",1,1,
"35-39","Some college/university study","Software Engineer","3-5 years",0,0,
"18-21","Some college/university study","Student","3-5 years",1,0,
"30-34","Bachelor's degree","Data Scientist","3-5 years",1,1,54000
"25-29","Bachelor's degree","Statistician","10-20 years",1,0,33000
"22-24","Master's degree","ML Engineer","3-5 years",1,0,
"25-29","Some college/university study","Data Engineer","< 1 year",0,0,102000
"22-24","Bachelor's degree","Other","10-20 years",1,1,58000
"18-21","Bachelor's degree","Student","1-2 years",1,0,
"30-34","Master's degree","Research Scientist","< 1 year",1,1,69000
"25-29","Master's degree","Research Scientist","5-10 years",1,0,40000
"25-29","Bachelor's degree","Data Analyst","1-2 years",1,0,122000
"30-34","Bachelor's degree","Student","10-20 years",0,0,
"18-21","Doctoral degree","Business Analyst","3-5 years",0,0,64000
"40-44","Some college/university study","Data Scientist","3-5 years",0,1,64000
"35-39","Bachelor's degree","ML Engineer","< 1 year",1,0,97000
"25-29","No formal education past high school","Statistician","3-5 years",1,1,123000
"18-21","Bachelor's degree","Data Engineer","5-10 years",1,1,
"22-24","Doctoral degree","Software Engineer","3-5 years",0,0,
"30-34","Bachelor's degree","Data Analyst","10-20 years",1,0,63000
"30-34","Master's degree","Student","20+ years",0,0,
"25-29","Some college/university study","Business Analyst","5-10 years",0,0,74000
"30-34","Bachelor's degree","Data Analyst","5-10 years",1,0,56000
"25-29","Master's degree","Student","20+ years",1,0,15000
"30-34","Master's degree","ML Engineer","5-10 years",1,0,187000
"35-39","Master's degree","ML Engineer","< 1 year",1,0,102000
"25-29","Master's degree","Research Scientist","5-10 years",1,1,101000
"18-21","Master's degree","Data Scientist","1-2 years",1,1,81000
"25-29","Master's degree","Software Engineer","20+ years",1,1,95000
"18-21","Master's degree","Data Scientist","10-20 years",1,1,89000
"25-29","Some college/university study","Data Scientist","10-20 years",1,1,72000
"35-39","Bachelor's degree","Software Engineer","10-20 years",1,0,49000
"30-34","Master's degree","Research Scientist","10-20 years",0,1,64000
"25-29","Doctoral degree","Data Analyst","3-5 years",1,1,56000
"22-24","Master's degree","Data Analyst","3-5 years",0,0,82000
"25-29","Doctoral degree","Student","5-10 years",0,0,20000
"22-24","No formal education past high school","Research Scientist","3-5 years",1,1,118000
"22-24","Professional degree","Data Analyst","3-5 years",1,0,152000
"35-39","Some college/university study","Data Analyst","5-10 years",1,0,67000
"35-39","Doctoral degree","Data Scientist","10-20 years",1,0,86000
"25-29","Bachelor's degree","Data Analyst","5-10 years",0,0,94000
"25-29","No formal education past high school","Research Scientist","3-5 years",1,1,62000
"50-54","Doctoral degree","Data Scientist","< 1 year",1,0,174000
"22-24","Some college/university study","Statistician","10-20 years",1,1,42000
"60+","Bachelor's degree","Other","< 1 year",0,0,37000
"40-44","Master's degree","ML Engineer","20+ years",1,0,78000
"35-39","Bachelor's degree","Business Analyst","1-2 years",0,0,34000
"30-34","Master's degree","Software Engineer","1-2 years",1,0,165000
"35-39","Master's degree","Data Engineer","< 1 year",1,0,273000
"35-39","Bachelor's degree","Business Analyst","3-5 years",0,1,55000
"30-34","Bachelor's degree","Data Scientist","3-5 years",1,0,105000
"22-24","Master's degree","ML Engineer","1-2 years",1,0,149000
"25-29","Bachelor's degree","ML Engineer","5-10 years",1,0,132000
"25-29","Bachelor's degree","Data Analyst","3-5 years",1,0,52000
"25-29","Doctoral degree","Statistician","20+ years",1,1,75000
"45-49","Doctoral degree","Business Analyst","5-10 years",0,0,65000
"25-29","Some college/university study","Software Engineer","5-10 years",0,0,
"45-49","Master's degree","Software Engineer","3-5 years",1,0,121000
"25-29","Some college/university study","Business Analyst","5-10 years",1,0,65000
"22-24","Master's degree","Research Scientist","3-5 years",0,1,32000
"30-34","Bachelor's degree","Business Analyst","3-5 years",1,0,32000
"18-21","Master's degree","Business Analyst","5-10 years",1,0,73000
"18-21","Master's degree","Business Analyst","5-10 years",0,0,90000
"35-39","Master's degree","Other","3-5 years",1,0,108000
"35-39","Doctoral degree","Data Scientist","3-5 years",0,1,65000
"25-29","Doctoral degree","Research Scientist","20+ years",1,1,88000
"22-24","Master's degree","Data Engineer","10-20 years",1,0,137000
"30-34","Doctoral degree","Data Scientist","5-10 years",1,1,52000
"25-29","Master's degree","Research Scientist","< 1 year",1,1,302000
"25-29","Doctoral degree","Statistician","20+ years",0,1,
"50-54","Master's degree","Student","10-20 years",0,1,
"35-39","Bachelor's degree","Research Scientist","3-5 years",1,0,130000
"30-34","Bachelor's degree","ML Engineer","10-20 years",1,0,88000
"35-39","Bachelor's degree","Data Scientist","5-10 years",1,1,62000
"25-29","Some college/university study","Statistician","5-10 years",1,0,62000
"18-21","Master's degree","Data Scientist","1-2 years",1,1,84000
"22-24","Master's degree","Data Scientist","10-20 years",1,1,175000
"22-24","Bachelor's degree","Data Engineer","10-20 years",1,0,64000
"25-29","Bachelor's degree","Software Engineer","10-20 years",1,0,75000
"22-24","Bachelor's degree","Business Analyst","3-5 years",1,0,88000
"22-24","Some college/university study","Data Scientist","3-5 years",0,0,120000
"30-34","Some college/university study","Business Analyst","1-2 years",1,0,
"18-21","Some college/university study","Student","5-10 years",1,0,
"35-39","Bachelor's degree","Statistician","3-5 years",1,1,
"25-29","Doctoral degree","Data Scientist","10-20 years",1,0,58000
"35-39","Bachelor's degree","Data Analyst","20+ years",1,1,52000
"30-34","Master's degree","Data Scientist","1-2 years",1,1,35000
"25-29","Bachelor's degree","Data Engineer","5-10 years",1,0,
"40-44","Master's degree","Student","1-2 years",1,1,
"25-29","Some college/university study","Data Analyst","3-5 years",0,1,
"25-29","Doctoral degree","Data Analyst","3-5 years",0,1,49000
"22-24","Master's degree","ML Engineer","< 1 year",1,0,258000
"50-54","Master's degree","Data Analyst","1-2 years",1,0,46000
"30-34","Master's degree","Software Engineer","5-10 years",1,1,
"35-39","Master's degree","ML Engineer","< 1 year",1,0,
"18-21","Doctoral degree","Statistician","5-10 years",0,1,146000
"22-24","Master's degree","Data Analyst","10-20 years",1,0,55000
"22-24","Master's degree","Student","10-20 years",1,0,
"35-39","Some college/university study","ML Engineer","10-20 years",1,0,236000
"22-24","Bachelor's degree","Data Scientist","3-5 years",1,0,64000
"25-29","Master's degree","Data Engineer","20+ years",1,0,322000
"50-54","Bachelor's degree","Data Engineer","3-5 years",1,0,70000
"22-24","Master's degree","Other","1-2 years",0,0,51000
"40-44","Bachelor's degree","Data Analyst","5-10 years",1,0,111000
"35-39","Doctoral degree","Software Engineer","1-2 years",1,0,162000
"22-24","Bachelor's degree","ML Engineer","< 1 year",1,1,89000
"25-29","Master's degree","Research Scientist","3-5 years",1,0,73000
"25-29","Bachelor's degree","Software Engineer","5-10 years",1,0,55000
"30-34","Doctoral degree","Data Scientist","10-20 years",1,0,1e+05
"35-39","Master's degree","Data Scientist","< 1 year",1,1,122000
"25-29","Master's degree","Software Engineer","10-20 years",1,0,88000
"30-34","Bachelor's degree","Student","1-2 years",0,0,20000
"35-39","Doctoral degree","Data Engineer","1-2 years",1,0,81000
"22-24","Professional degree","Data Analyst","3-5 years",0,0,89000
"25-29","Bachelor's degree","Software Engineer","10-20 years",0,0,155000
"25-29","Bachelor's degree","Research Scientist","5-10 years",1,0,138000
"30-34","Professional degree","Student","5-10 years",1,0,
"25-29","Bachelor's degree","Business Analyst","10-20 years",0,1,54000
"50-54","Master's degree","Software Engineer","3-5 years",1,0,148000
"25-29","Professional degree","Data Engineer","20+ years",1,0,
"22-24","Master's degree","Data Scientist","< 1 year",1,0,108000
"25-29","Master's degree","Student","5-10 years",1,0,
"25-29","Some college/university study","Software Engineer","5-10 years",1,1,112000
"30-34","Master's degree","Data Analyst","1-2 years",1,1,
"60+","Doctoral degree","Research Scientist","5-10 years",0,0,157000
"25-29","Master's degree","Business Analyst","5-10 years",1,0,169000
"25-29","Bachelor's degree","Student","20+ years",1,0,
"25-29","Master's degree","Data Engineer","1-2 years",1,0,143000
"25-29","Bachelor's degree","Data Engineer","5-10 years",1,0,72000
"30-34","Master's degree","Data Scientist","20+ years",1,1,28000
"18-21","Bachelor's degree","Business Analyst","20+ years",1,0,22000
"35-39","Doctoral degree","Data Scientist","3-5 years",1,0,53000
"18-21","Professional degree","Software Engineer","1-2 years",0,0,
"30-34","Bachelor's degree","Student","10-20 years",1,0,1500
"40-44","Bachelor's degree","Research Scientist","5-10 years",0,1,123000
"45-49","Bachelor's degree","Data Analyst","3-5 years",0,0,122000
"30-34","Master's degree","Software Engineer","< 1 year",0,0,42000
"25-29","Bachelor's degree","Data Scientist","1-2 years",1,0,49000
"45-49","Bachelor's degree","Student","3-5 years",0,0,5000
"35-39","Bachelor's degree","Data Analyst","< 1 year",1,0,98000
"25-29","Doctoral degree","Data Engineer","3-5 years",1,0,216000
"45-49","Master's degree","Data Analyst","5-10 years",0,0,47000
"30-34","Bachelor's degree","Data Scientist","3-5 years",1,1,67000
"22-24","Doctoral degree","Research Scientist","3-5 years",0,1,
"35-39","Professional degree","Data Engineer","10-20 years",0,1,77000
"22-24","Bachelor's degree","Data Scientist","< 1 year",1,1,
"30-34","Bachelor's degree","Data Scientist","10-20 years",1,0,57000
"35-39","Master's degree","Software Engineer","< 1 year",1,0,70000
"22-24","Master's degree","ML Engineer","1-2 years",1,0,
"25-29","Bachelor's degree","Data Engineer","1-2 years",1,0,69000
"18-21","Bachelor's degree","Student","< 1 year",1,0,
"25-29","Master's degree","Data Scientist","1-2 years",1,0,1e+05
"45-49","Master's degree","Data Scientist","10-20 years",1,1,70000
"18-21","Bachelor's degree","Student","5-10 years",1,0,
"55-59","Bachelor's degree","Software Engineer","1-2 years",1,0,73000
"30-34","Doctoral degree","Business Analyst","20+ years",1,0,40000
"40-44","Some college/university study","Software Engineer","5-10 years",1,0,63000
"30-34","Bachelor's degree","Software Engineer","10-20 years",1,0,82000
"40-44","Some college/university study","Student","10-20 years",1,1,
"22-24","Bachelor's degree","Data Scientist","10-20 years",1,0,
"30-34","Bachelor's degree","Student","1-2 years",0,0,1500
"40-44","Master's degree","Business Analyst","5-10 years",1,0,
"40-44","Master's degree","Data Analyst","3-5 years",1,0,
"50-54","Professional degree","Data Scientist","10-20 years",1,1,134000
"18-21","Some college/university study","Data Engineer","10-20 years",1,0,117000
"25-29","Some college/university study","Statistician","20+ years",0,1,60000
"35-39","Master's degree","Data Scientist","20+ years",0,0,96000
"35-39","Master's degree","Research Scientist","3-5 years",0,0,1e+05
"22-24","No formal education past high school","ML Engineer","1-2 years",0,0,99000
"40-44","Some college/university study","Data Analyst","< 1 year",1,0,47000
"40-44","Master's degree","ML Engineer","3-5 years",1,0,57000
"30-34","Bachelor's degree","Data Analyst","3-5 years",1,0,57000
"40-44","Master's degree","ML Engineer","5-10 years",1,0,102000
"18-21","Bachelor's degree","Data Scientist","3-5 years",1,1,57000
"22-24","Bachelor's degree","Data Scientist","3-5 years",1,1,70000
"18-21","Master's degree","Data Scientist","3-5 years",1,0,37000
"25-29","Master's degree","Data Scientist","10-20 years",1,0,67000
"45-49","Master's degree","Software Engineer","3-5 years",1,0,94000
"35-39","Bachelor's degree","Business Analyst","10-20 years",1,0,160000
"18-21","Master's degree","ML Engineer","1-2 years",1,0,63000
"40-44","Some college/university study","Software Engineer","10-20 years",1,0,89000
"25-29","Bachelor's degree","Research Scientist","< 1 year",0,1,99000
"45-49","Some college/university study","Data Scientist","3-5 years",1,0,50000
"25-29","Doctoral degree","Data Scientist","5-10 years",1,1,124000
"22-24","Master's degree","Data Scientist","3-5 years",1,1,182000
"25-29","Bachelor's degree","Software Engineer","3-5 years",1,0,121000
"25-29","Master's degree","Student","5-10 years",0,1,
"22-24","Master's degree","Other","3-5 years",0,0,56000
"35-39","Bachelor's degree","Data Analyst","3-5 years",0,0,33000
"22-24","Master's degree","Data Analyst","3-5 years",0,0,
"22-24","Bachelor's degree","Business Analyst","1-2 years",0,0,92000
"30-34","Bachelor's degree","Other","1-2 years",0,0,63000
"25-29","Master's degree","ML Engineer","3-5 years",1,1,65000
"30-34","Bachelor's degree","Research Scientist","< 1 year",1,1,65000
"30-34","Master's degree","Student","1-2 years",1,0,
"30-34","Professional degree","ML Engineer","10-20 years",1,1,59000
"30-34","Bachelor's degree","Statistician","1-2 years",1,0,31000
"50-54","Bachelor's degree","Data Engineer","3-5 years",1,0,35000
"30-34","Doctoral degree","Software Engineer","3-5 years",1,0,
"40-44","Professional degree","Data Engineer","< 1 year",1,0,105000
"45-49","Master's degree","Data Scientist","5-10 years",1,0,74000
"35-39","Some college/university study","Data Scientist","3-5 years",1,0,
"25-29","Some college/university study","Data Analyst","3-5 years",1,0,24000
"40-44","Some college/university study","Data Scientist","10-20 years",1,1,81000
"35-39","Some college/university study","Student","10-20 years",1,1,20000
"25-29","Bachelor's degree","Research Scientist","10-20 years",0,1,59000
"25-29","Bachelor's degree","Research Scientist","< 1 year",1,1,160000
"25-29","Master's degree","Data Analyst","5-10 years",1,0,
"40-44","Master's degree","ML Engineer","1-2 years",1,0,72000
"22-24","Master's degree","Data Scientist","3-5 years",1,1,27000
"35-39","Bachelor's degree","Data Analyst","5-10 years",1,0,171000
"35-39","Bachelor's degree","Data Scientist","10-20 years",1,0,244000
"45-49","Bachelor's degree","Data Analyst","< 1 year",1,0,
"30-34","Doctoral degree","Data Scientist","3-5 years",1,0,108000
"18-21","Bachelor's degree","Software Engineer","10-20 years",1,1,93000
"18-21","Master's degree","Data Engineer","10-20 years",1,0,80000
"25-29","Master's degree","ML Engineer","20+ years",1,0,
"45-49","Master's degree","Student","< 1 year",1,0,
"30-34","Bachelor's degree","ML Engineer","5-10 years",1,0,94000
"45-49","Master's degree","Data Scientist","< 1 year",1,0,99000
"25-29","Doctoral degree","Student","5-10 years",0,0,
"40-44","Bachelor's degree","Data Scientist","10-20 years",1,0,
"35-39","Bachelor's degree","Data Analyst","3-5 years",1,0,34000
"30-34","Bachelor's degree","Data Scientist","1-2 years",1,1,112000
"25-29","Bachelor's degree","Research Scientist","3-5 years",0,1,124000
"30-34","Professional degree","Data Scientist","1-2 years",1,0,67000
"22-24","Professional degree","Data Scientist","20+ years",0,0,105000
"18-21","Master's degree","Student","< 1 year",1,1,
"18-21","Master's degree","Software Engineer","3-5 years",0,0,50000
"18-21","Doctoral degree","Data Scientist","3-5 years",0,1,78000
"30-34","Some college/university study","Student","3-5 years",1,0,
"22-24","Bachelor's degree","Student","< 1 year",0,0,
"25-29","Master's degree","Student","1-2 years",1,0,
"35-39","Master's degree","Data Scientist","5-10 years",1,0,
"22-24","Bachelor's degree","Data Analyst","20+ years",0,0,60000
"25-29","Some college/university study","Data Scientist","20+ years",1,0,
"25-29","Bachelor's degree","ML Engineer","10-20 years",1,1,
"22-24","Bachelor's degree","Research Scientist","5-10 years",1,1,62000
"50-54","Bachelor's degree","Data Scientist","1-2 years",1,0,
"18-21","Bachelor's degree","Data Scientist","< 1 year",1,1,89000
"40-44","Bachelor's degree","Statistician","3-5 years",0,1,
"50-54","Bachelor's degree","Other","20+ years",1,0,
"30-34","Bachelor's degree","Research Scientist","1-2 years",0,1,144000
"50-54","Doctoral degree","Data Scientist","1-2 years",1,1,137000
"40-44","Master's degree","Data Engineer","5-10 years",0,1,145000
"35-39","Bachelor's degree","Student","3-5 years",1,0,1500
"30-34","Bachelor's degree","Other","1-2 years",1,0,59000
"22-24","Master's degree","Data Scientist","10-20 years",1,0,61000
"18-21","Doctoral degree","Statistician","1-2 years",1,0,148000
"22-24","Doctoral degree","Data Analyst","< 1 year",0,0,33000
"35-39","Some college/university study","Student","1-2 years",1,0,
"30-34","Bachelor's degree","Software Engineer","< 1 year",1,1,169000
"40-44","Doctoral degree","Data Scientist","5-10 years",1,0,73000
"25-29","Bachelor's degree","Data Scientist","< 1 year",1,0,98000
"22-24","Bachelor's degree","Data Engineer","10-20 years",1,0,210000
"25-29","Bachelor's degree","Data Scientist","3-5 years",1,0,43000
"25-29","Professional degree","Business Analyst","5-10 years",0,1,86000
"22-24","Master's degree","Data Analyst","20+ years",0,0,68000
"30-34","Master's degree","Data Scientist","1-2 years",0,0,191000
"30-34","Bachelor's degree","Student","10-20 years",1,0,5000
"22-24","Master's degree","Software Engineer","1-2 years",1,0,95000
"18-21","Bachelor's degree","Software Engineer","3-5 years",0,1,121000
"60+","Master's degree","ML Engineer","5-10 years",1,0,126000
"30-34","Bachelor's degree","Research Scientist","3-5 years",1,1,39000
"45-49","Professional degree","Data Scientist","5-10 years",1,0,125000
"22-24","Bachelor's degree","Research Scientist","10-20 years",1,1,
"40-44","Master's degree","Student","5-10 years",0,0,
"45-49","Bachelor's degree","Data Scientist","3-5 years",1,1,143000
"35-39","Master's degree","Data Analyst","20+ years",1,0,42000
"30-34","Bachelor's degree","Data Scientist","20+ years",1,1,98000
"25-29","Professional degree","Research Scientist","20+ years",0,0,102000
"25-29","Master's degree","Data Analyst","3-5 years",1,0,33000
"30-34","Some college/university study","Software Engineer","5-10 years",0,0,12000
"25-29","Bachelor's degree","Business Analyst","3-5 years",0,0,59000
"22-24","Doctoral degree","Data Analyst","3-5 years",1,0,82000
"18-21","Master's degree","Student","5-10 years",1,1,15000
"35-39","Bachelor's degree","Research Scientist","3-5 years",1,1,
"30-34","Bachelor's degree","Student","3-5 years",1,0,
"25-29","Master's degree","ML Engineer","20+ years",1,1,99000
"25-29","Master's degree","Data Analyst","5-10 years",1,0,
"30-34","Master's degree","Data Analyst","1-2 years",1,0,48000
"30-34","Bachelor's degree","Business Analyst","5-10 years",1,0,25000
"25-29","Bachelor's degree","Research Scientist","3-5 years",1,1,
"55-59","Bachelor's degree","Data Engineer","3-5 years",1,1,128000
"35-39","Some college/university study","Student","10-20 years",1,1,5000
"30-34","Master's degree","Software Engineer","20+ years",1,0,47000
"22-24","Master's degree","Data Scientist","5-10 years",1,1,73000
"18-21","Some college/university study","Data Engineer","1-2 years",1,0,114000
"25-29","Some college/university study","Software Engineer","3-5 years",1,0,68000
"30-34","Master's degree","Business Analyst","10-20 years",1,0,
"25-29","Some college/university study","Business Analyst","5-10 years",0,1,61000
"22-24","Some college/university study","Student","1-2 years",0,1,
"30-34","Bachelor's degree","Business Analyst","3-5 years",0,1,46000
"25-29","Bachelor's degree","Software Engineer","20+ years",1,0,20000
"25-29","Master's degree","Statistician","10-20 years",0,0,
"22-24","No formal education past high school","Student","10-20 years",0,1,1500
"30-34","Bachelor's degree","Data Scientist","5-10 years",1,0,81000
"45-49","Professional degree","Data Scientist","10-20 years",1,0,121000
"18-21","Doctoral degree","ML Engineer","1-2 years",1,0,93000
"25-29","Bachelor's degree","Data Analyst","3-5 years",1,0,58000
"40-44","Master's degree","ML Engineer","5-10 years",1,1,173000
"25-29","Master's degree","Business Analyst","5-10 years",1,0,33000
"50-54","Professional degree","Student","< 1 year",1,0,15000
"25-29","Some college/university study","Software Engineer","10-20 years",0,0,
"40-44","Master's degree","Data Analyst","1-2 years",0,1,54000
"22-24","Bachelor's degree","ML Engineer","3-5 years",1,0,147000
"40-44","Bachelor's degree","Data Analyst","10-20 years",1,0,44000
"22-24","Master's degree","ML Engineer","3-5 years",1,0,
"40-44","Master's degree","Student","20+ years",1,0,
"18-21","Master's degree","Software Engineer","< 1 year",0,0,56000
"40-44","Master's degree","Business Analyst","20+ years",1,0,40000
"22-24","Some college/university study","Data Scientist","3-5 years",1,0,78000
"22-24","Master's degree","Software Engineer","5-10 years",1,0,130000
"25-29","Master's degree","Student","1-2 years",1,0,
"25-29","No formal education past high school","Data Engineer","10-20 years",1,1,44000
"22-24","Master's degree","ML Engineer","1-2 years",0,0,
"25-29","Master's degree","Data Scientist","1-2 years",1,0,45000
"22-24","Bachelor's degree","ML Engineer","5-10 years",1,0,248000
"35-39","Bachelor's degree","Research Scientist","5-10 years",1,1,
"18-21","Bachelor's degree","ML Engineer","5-10 years",1,0,179000
"18-21","Bachelor's degree","Data Scientist","10-20 years",0,0,67000
"22-24","Master's degree","Data Scientist","3-5 years",1,1,
"22-24","Doctoral degree","Data Scientist","20+ years",1,0,97000
"18-21","Doctoral degree","Student","10-20 years",0,0,
"45-49","Master's degree","Data Analyst","3-5 years",1,0,
"18-21","Some college/university study","Software Engineer","1-2 years",1,1,67000
"30-34","Master's degree","Data Analyst","10-20 years",1,0,28000
"22-24","Some college/university study","Data Analyst","3-5 years",0,0,76000
"18-21","Master's degree","Data Analyst","5-10 years",0,0,40000
"18-21","Bachelor's degree","Student","5-10 years",1,0,
"30-34","Master's degree","Statistician","10-20 years",1,0,91000
"30-34","Master's degree","Data Analyst","1-2 years",1,0,53000
"40-44","No formal education past high school","Software Engineer","< 1 year",1,0,120000
"55-59","Bachelor's degree","Business Analyst","3-5 years",0,0,67000
"22-24","Some college/university study","Research Scientist","5-10 years",0,1,85000
"30-34","Doctoral degree","Research Scientist","3-5 years",0,1,
"35-39","Master's degree","Data Engineer","20+ years",1,0,38000
"18-21","Bachelor's degree","Data Engineer","< 1 year",1,0,61000
"45-49","Master's degree","Other","3-5 years",1,1,37000
"40-44","Doctoral degree","Student","20+ years",0,1,
"18-21","Master's degree","Software Engineer","3-5 years",1,0,73000
"45-49","Professional degree","ML Engineer","20+ years",1,0,116000
"25-29","Bachelor's degree","Student","20+ years",0,0,
"25-29","Bachelor's degree","Research Scientist","3-5 years",0,1,
"40-44","Master's degree","Data Analyst","5-10 years",0,0,113000
"35-39","Bachelor's degree","Research Scientist","5-10 years",1,0,
"35-39","Some college/university study","ML Engineer","5-10 years",1,0,83000
"18-21","Doctoral degree","Data Scientist","1-2 years",1,0,133000
"22-24","Some college/university study","Data Scientist","5-10 years",1,1,
"35-39","Bachelor's degree","Software Engineer","1-2 years",0,0,69000
"22-24","Master's degree","Data Analyst","5-10 years",1,0,97000
"22-24","Master's degree","Data Engineer","3-5 years",1,0,103000
